,store,sido,gungu,store_address
302,수원세류점(치킨앤비어),경기도,수원시,경기도 수원시 권선구 정조로388번길 6(세류동) 1층
303,수원조원점,경기도,수원시,경기도 수원시 장안구 경수대로 920 (조원동) 2층
304,신당점,서울,중구,서울 중구 무학동 58
305,신도림역점,서울,구로구,서울 구로구 신도림동 338번지 푸르지오 2차상가
306,안양코암호텔점,경기,안양시,경기 안양시 만안구 안양동 431-10
307,압구정스타점,서울,강남구,서울 강남구 신사동 634-16 
308,"양양쏠비치점(올떡,초대마왕,치킨&비어)(명변)",강원도,양양군,강원도 양양군 손양면 선사유적로 678 (대명쏠비치호 이스탄샤C
309,양재주암점,서울특별시,서초구,서울특별시 서초구 매헌로 36 (양재로) 2층
310,여의도역아일렉스점,서울특별시,영등포구,"서울특별시 영등포구 의사당대로 108 (여의도동, 아일 지하1층 F01호"
311,여의도점,서울,영등포구,서울 영등포구 여의도동 26 S-TRENUE 지하B103호
312,역곡역점,경기도,부천시,"경기도 부천시 원미구 부일로 702 (역곡동, 남영아파 상가동 105, 106호"
313,용인동천유타워점,경기도,용인시,"경기도 용인시 수지구 신수로 767 (동천동, 분당수지U B동 A-125호"
314,울산일산점,울산광역시,동구,울산광역시 동구 해수욕장3길 6 (일산동) 
315,을지대점,경기도,성남시,경기도 성남시 중원구 산성대로 558 (은행동) 
316,의정부신곡중앙점,경기도,의정부시,"경기도 의정부시 동일로 454번길 7(신곡동, 5층) "
317,인천연수스타점,인천광역시,연수구,"인천광역시 연수구 용담로118번길 21 (연수동, 미지프 연수동,미지프라임빌101호"
318,인천옥련점,인천,연수구,인천 연수구 옥련동 371 지상1층 101호
319,인천청천점,인천광역시,부평구,인천광역시 부평구 마장로 475 (청천동) 
320,장기수변점,경기도,김포시,"경기도 김포시 김포한강2로23번길 10 (장기동, 라베니 1층 121호 122호"
321,장기수변점2호점(분점),경기도,김포시,"경기도 김포시 김포한강2로 23번길 10, B118호 (장기 "
322,제주도두점,제주,제주시,제주 제주시 도두1동 2538번지
323,제주삼무공원점,제주특별자치도,제주시,제주특별자치도 제주시 삼무로 40 (연동) 2층
324,진주칠암점,경남,진주시,경남 진주시 칠암동 동진로 20번길 25
325,천안백석점,충남,천안시,충남 천안시 서북구 백석동 54-29 
326,청주모충점,충청북도,청주시,충청북도 청주시 흥덕구 모충로 79 (모충동) 
327,청주지웰시티몰점,충북,청주시,"충북 청주시 흥덕구 복대동 3379 신영지웰시티1차 상업시설 B26,B30"
328,춘천퇴계점(치킨앤비어),강원도,춘천시,강원도 춘천시 행촌로 59 (퇴계동) 1층
329,크리스탈호텔점,대구광역시,달서구,대구광역시 달서구 달구벌대로 1910 (두류동) 1층
330,태장1동점,강원,원주시,강원 원주시 태장동 126-10 
331,파장점,경기,수원시,경기 수원시 장안구 파장동 588
332,파주LCD점,경기도,파주시,경기도 파주시 월롱면 엘씨디로241번길 8-19 2층 201호
333,호계점(치킨&비어)(2)(명변),경기도,안양시,"경기도 안양시 동안구 엘에스로 45 (호계동, 대영골든 "
334,휘닉스파크무이점,강원도,평창군,강원도 평창군 봉평면 태기로 89 1층
335,가락2점,서울,송파구,서울 송파구 가락2동 190-7번지  1층
336,가락점,서울,송파구,서울 송파구 가락동 90-3
337,가산점,서울,금천구,서울 금천구 가산동  152-16
338,가재울뉴타운점,서울특별시,서대문구,"서울특별시 서대문구 가재울미래로 2 (남가좌동, DMC 203동 105B호"
339,가평북면점,경기도,가평군,경기도 가평군 북면 화악산로 18 1층
340,가평설악점,경기,가평군,경기 가평군 설악면 신천리 462-14
341,가평청평점(펀&정2),경기,가평군,경기 가평군 청평면 청평리 413-16외1필지
342,강릉교동점,강원,강릉시,강원 강릉시 교동 833-4
343,강릉성덕점,강원도,강릉시,강원도 강릉시 월대산로 64 (입암동) (입암동)
344,강북스타2호점,서울특별시,강북구,서울특별시 강북구 오현로32길 3 
345,강북스타3호점,서울특별시,강북구,"서울특별시 강북구 삼양로27길 43 (미아동, 위브 테라 1층 111호"
346,강북스타점,서울특별시,강북구,서울특별시 강북구 한천로 992 
347,강서2점,서울,강서구,서울 강서구 등촌1동 654-77
348,강서지사점(express)(2),부산광역시,강서구,부산광역시 강서구 과학산단로334번다길 39 (지사동) 
349,강선점,경기,고양시,경기 고양시 일산서구 주엽동 83 강선마을 상가동1층
350,강원간성점,강원,고성군,강원 고성군 간성읍 신안리 162-2
351,강원거진점,강원,고성군,강원 고성군 거진읍 거진리 283-9번지
352,강원양구점,강원,양구군,강원 양구군 양구읍 상리 273-3
353,강원양양점,강원,양양군,강원 양양군 양양읍 남문1리 97-3번지
354,강원인제점,강원,인제군,강원 인제군 인제읍 상동리 347-1
355,강원태백점,강원,태백시,강원 태백시 황지동 215-7
356,강원홍천점,강원도,홍천군,강원도 홍천군 홍천읍 홍천로3길 15 
357,강화세광점,인천,강화군,인천 강화군 선원면 창리 642-1
358,개봉역점,서울특별시,구로구,"서울특별시 구로구 개봉로23가길 76 107(개봉동,한마음프라자)"
359,개봉점,서울,구로구,서울 구로구 개봉동 329-13
360,개포2점,서울,강남구,서울 강남구 개포동 141번지 개포주공1단지상가 가상가 101동 2호
361,개포동역점(올리브치킨),서울특별시,강남구,"서울특별시 강남구 개포로 512 (개포동, 개포종합상가 1층 108호"
362,개포점,서울특별시,강남구,서울특별시 강남구 개포로 250 (개포동) 
363,개화산점,서울특별시,강서구,서울특별시 강서구 초원로 47 방화동 1층1호
364,거여점,서울,송파구,서울 송파구 거여동 343-4 송파공고옆
365,거제고현점,경남,거제시,경남 거제시 고현동 1035-6
366,거제상동점,경남,거제시,경남 거제시 상동동 931-18 상가동 102호 
367,거제수양점(올리브카페),경상남도,거제시,경상남도 거제시 수양로 432 (수월동) 
368,거제장승포점,경상남도,거제시,"경상남도 거제시 장승로 168 (장승포동, 효은빌딩) (장승포동,외1필지(1층))"
369,거제중곡수월점,경상남도,거제시,경상남도 거제시 중곡로1길 28-4 (고현동) 1층(고현동)
370,경기광주2호점(cafe),경기,광주시,경기 광주시 탄벌동 765 경남아파트상가비동103호
371,경기광주쌍동점,경기,광주시,경기 광주시 초월읍 쌍동리 184
372,경기광주역점(올리브카페),경기도,광주시,경기도 광주시 장지1길 19 (장지동) 1층
373,경기광주태전점,경기도,광주시,경기도 광주시 태봉로 23 (태전동) 
374,경기광주퇴촌점,경기,광주시,경기 광주시 퇴촌면 광동리 173-7
375,경기능골점,경기,광주시,경기 광주시 오포읍 능평리 174-33
376,경기사강점,경기도,화성시,경기도 화성시 송산면 사강로 159 106호~107호
377,경기양벌리점,경기,광주시,경기 광주시 오포읍 양벌리 561-1
378,경기양평점,경기도,양평군,경기도 양평군 양평읍 관문길 57 
379,경남거창점,경남,거창군,경남 거창군 거창읍 대동리 713-1 세한빌딩 101호
380,경남고성점,경남,고성군,경남 고성군 고성읍 서외리 224-6 상우궁전빌라 101
381,경남금산점,경남,진주시,경남 진주시 금산면 중천리 408-4
382,경남안의점1,경남,함양군,경남 함양군 안의면 당본리 21-1번지
383,경남영산점,경상남도,창녕군,경상남도 창녕군 영산면 영산새싹길 28 
384,경남원지점,경남,산청군,경남 산청군 신안면 하정리 929-2
385,경남진교점,경남,하동군,경남 하동군 진교면 진교리 426-77
386,경남창녕점,경남,창녕군,경남 창녕군 창녕읍 교하리 46-2
387,경남칠원점,경남,함안군,경남 함안군 칠원면 용산리 39-2
388,경남함양점,경남,함양군,경남 함양군 함양읍 용평리 720-15
389,경북고령점,경북,고령군,경북 고령군 고령읍 쾌빈리 483-1
390,경북봉화점,경상북도,봉화군,경상북도 봉화군 내성로1길 47 
391,경북북삼로뎀점,경상북도,칠곡군,경상북도 칠곡군 북삼읍 북삼로 11 11길 8
392,경북성주가천점,경북,성주군,경북 성주군 가천면 창천리 518-1
393,경북신도청점,경상북도,예천군,경상북도 예천군 호명면 양지4길 4 
394,경북영주휴천점,경북,영주시,경북 영주시 조암동 1187-35
395,경북예천점(올리브치킨),경상북도,예천군,경상북도 예천군 예천읍 중앙로 74 (예천성인콜라텍) 
396,경북풍기점,경북,영주시,경북 영주시 풍기읍 성내3리 48-2
397,경산사동점,경북,경산시,경북 경산시 사동 652-8
398,경산옥산1점,경북,경산시,경북 경산시 옥산동 865번지
399,경산옥산점,경북,경산시,경북 경산시 정평동 138-6 우방상가 103-106호
400,경산진량점,경상북도,경산시,경상북도 경산시 진량읍 공단1로 2 
401,경산하양점,경북,경산시,경북 경산시 하양읍 금락리4-59
402,경주건천점,경상북도,경주시,경상북도 경주시 건천읍 대경로 3977 
403,경주나아점,경상북도,경주시,경상북도 경주시 양남면 나아5길 10-5 
404,경주동천점,경북,경주시,경북 경주시 동천동 817-3
405,경주불국사점,경북,경주시,경북 경주시 진현동 611-114
406,경주성건점,경상북도,경주시,경상북도 경주시 금성로 385 (성건동) 
407,경주외동점,경북,경주시,경북 경주시 외동읍 입실1리 1016-8
408,경주용강점,경상북도,경주시,"경상북도 경주시 다불로 49 (용강동, 삼환나우빌) ,5(용강동,삼환나우빌상가)"
409,경주충효이안점(올리브카페),경상북도,경주시,경상북도 경주시 충효천길 263-10 (충효동) 1층
410,경주충효점,경북,경주시,경북 경주시 충효동 2992-3 진성빌라상가 102호
411,경주황성2호점(올리브카페),경상북도,경주시,경상북도 경주시 용담로116번길(황성동) 
412,경주황성점,경북,경주시,경북 경주시 황성동 277-4
413,경희궁자이점,서울,종로구,서울 종로구 무악동 45-304
414,고덕점,서울,강동구,서울 강동구 고덕1동 645-8번지
415,고성대진점,강원,고성군,강원 고성군 현내면 대진리 111-7
416,고양관산동점,경기도,고양시,경기도 고양시 덕양구 통일로768번길 19 (관산동) 1층 104호
417,고양성사점,경기도,고양시,"경기도 고양시 덕양구 호국로 859 (성사동, 대림e편한 가동1층 107호(일부)"
418,고양원당점(cafe),경기,고양시,경기 고양시 덕양구 성사동 720-1번지
419,고양원흥점,경기도,고양시,경기도 고양시 덕양구 삼원로 102 (원흥동) 상가-105(원흥동)
420,고양점,경기도,고양시,"경기도 고양시 덕양구 혜음로 103 (고양동, 신성프라 104호"
421,고양행신가람점,경기도,고양시,경기도 고양시 덕양구 행신로 351-9 (행신동) 1층
422,고잔신도시점,경기도,안산시,"경기도 안산시 상록구 해양1로 15 (사동, 안산고잔6차 104,105호"
423,고창본점,전북,고창군,전북 고창군 고창읍 읍내리 197-8
424,고척점,서울특별시,구로구,서울특별시 구로구 경인로47다길 10 (고척동) 
425,고흥거금도점,전남,고흥군,전남 고흥군 금산면 거금중앙길 137
426,곡성옥과점(express3),전라남도,곡성군,전라남도 곡성군 옥과면 대학로 147 
427,곤지암점,경기,광주시,경기 광주시 실촌면 곤지암리 453-48번지
428,공릉점,서울특별시,노원구,서울특별시 노원구 공릉로 199 103(공릉동)
429,공주신관점,충남,공주시,충남 공주시 금흥동 현대4차A상가 104호
430,공주옥룡점,충남,공주시,충남 공주시 옥룡동 330-1
431,공주이인점,충남,공주시,충남 공주시 이인면 이인리 159-5
432,공항점,서울,강서구,서울 강서구 공항동 41-44번지
433,과천부림점,경기,과천시,경기 과천시 부림동 20-1 일반상가 6호
434,광나루점(Cafe),서울특별시,광진구,"서울특별시 광진구 광나루로 595 (광장동, 광장자이아 "
435,광명본점,경기,광명시,경기 광명시 광명7동 720-5   1층
436,광명소하점,경기,광명시,경기 광명시 소하동 1323-1 103
437,광명역점(올리브치킨),경기도,광명시,경기도 광명시 일직로12번길 11 (일직동) 1층 4호
438,광명철산점,경기,광명시,경기 광명시 철산동 241-2 바상가106호
439,광명하안3점(8),서울,금천구,서울 금천구 독산동 1100-3번지
440,광명하안중앙점(4),경기도,광명시,"경기도 광명시 하안로 293-10 (하안동, 정산빌딩) "
441,광양덕례점,전남,광양시,전남 광양시 광양읍 구산리 848-23 
442,광양용강점,전라남도,광양시,전라남도 광양시 광양읍 와룡길 30-1 
443,광양중동점,전라남도,광양시,전라남도 광양시 광장1길 21 (중동) 
444,광양중마점,전라남도,광양시,전라남도 광양시 중마로 267 (중동) 
445,광운대점,서울,노원구,서울 노원구 월계동 402-53번지
446,광장점,서울특별시,광진구,서울특별시 광진구 구의로16길 89 (구의동) 101호
447,광장점,서울특별시,광진구,서울특별시 광진구 구의로16길 89 (구의동) 1층
448,광주금호점,광주광역시,서구,"광주광역시 서구 금화로115번길 25 (금호동, 한국2차 도시공사2단지상가동102호"
449,광주담양점,전남,담양군,전남 담양군 담양읍 지침리 113-1
450,광주도척점,경기도,광주시,경기도 광주시 도척면 노곡로 19 (1층)
451,광주도평리점,경기도,광주시,경기도 광주시 초월읍 현산로 106 
452,광주마재점,광주광역시,서구,"광주광역시 서구 화개중앙로 55 (금호동,1층)"
453,광주매곡점,광주광역시,북구,광주광역시 북구 서하로 96 (매곡동) 1층
454,광주목포연산점,전남,목포시,전남 목포시 산정동 1778-16
455,광주백운점,광주광역시,남구,"광주광역시 남구 백운로 91-2 (백운동) 104(백운동,1층)"
456,광주상무점,광주광역시,서구,"광주광역시 서구 상무중앙로 57 (치평동, 상무중흥S클 "
457,광주송정역점(올리브카페),경기도,광주시,경기도 광주시 광주대로224번길 1 (송정동) 1층 3호
458,광주수완신가점(올리브카페),광주광역시,광산구,"광주광역시 광산구 수등로76번길 15 (신가동, 스타빌) 1층"
459,광주수완점,광주광역시,광산구,광주광역시 광산구 장신로 135 (수완동) 1층 109호
460,광주신창행운점,광주광역시,광산구,광주광역시 광산구 왕버들로251번길 14 (신창동) 1층
461,광주쌍촌점,광주광역시,서구,광주광역시 서구 내방로240번길 5 (쌍촌동) 1층
462,광주영암점,전남,영암군,전남 영암군 영암읍 서남리 66-1번지
463,광주용두점,광주,북구,광주 북구 양산동 910
464,광주용봉비엔날레점(cafe),광주,북구,광주 북구 용봉동 1091-4번지 엠타워 103호
465,광주운남점,광주,광산구,광주 광산구 운남동 목련로 153번길 31 1층
466,광주운암점(Cafe),광주,북구,광주 북구 운암동 959-2 1층
467,광주일곡점,광주광역시,북구,광주광역시 북구 송해로 72 (일곡동) 
468,광주진월점,광주,남구,광주 남구 진월동 412-5번지
469,광주첨단금호점,광주,광산구,광주 광산구 월계동 756-6 라인5차아파트 상가-101
470,광주첨단월계점,광주,광산구,광주 광산구 월계동 813-9
471,광주풍암점,광주,서구,광주 서구 풍암동 1078-4
472,광주하남점,광주광역시,광산구,광주광역시 광산구 하남대로54번안길 3 (하남동) 
473,광주학운점,광주,동구,광주 동구 학동 676-12 보람아파트 상가 103호
474,광주화정점,광주광역시,서구,광주광역시 서구 염화로 122 (화정동) 1층
475,광탄점,경기,파주시,경기 파주시 광탄면 신산리 358-17
476,교하신도시점,경기도,파주시,"경기도 파주시 책향기로 439 (동패동, 책향기마을동문 204호"
477,교현스타점(올리브치킨),충청북도,충주시,충청북도 충주시 신호4길 26 (교현동) 2층
478,구로점,서울,구로구,서울 구로구 구로동 429-41번지
479,구룡포점,경북,포항시,경북 포항시 남구 구룡포읍 구룡포리 704-9
480,구리갈매점(올리브카페),경기도,구리시,"경기도 구리시 갈매중앙로 89-8 (갈매동, 로데오프라 1층 102호"
481,구리교문점,경기,구리시,경기 구리시 교문동 803
482,구리수택점,경기도,구리시,경기도 구리시 이문안로99번길 24 (수택동) 1층
483,구미공단점,경상북도,구미시,"경상북도 구미시 산호대로 233 (공단동, 구미BOX IN) 1층 116호"
484,구미구평점,경북,구미시,경북 구미시 구평동 473-11
485,구미봉곡점,경북,구미시,경북 구미시 봉곡동 298-2
486,구미송정점,경북,구미시,경북 구미시 송정동 80-5
487,구미신평점,경북,구미시,경북 구미시 신평동 150-49번지
488,구미옥계2점,경상북도,구미시,경상북도 구미시 산호대로25길 26-19 (옥계동) 
489,구미옥계사랑점,경북,구미시,"경북 구미시 옥계동 4공단 18-3, 6블럭 현진에버빌단지내상가1층 104"
490,구미원호점,경북,구미시,경북 구미시 도량동 707-8번지 101호
491,구미진평점,경북,구미시,경북 구미시 진평동 17-6 청우빌 102
492,구미확장단지점(올리브치킨),경상북도,구미시,경상북도 구미시 산동면 신당4로 17 (우미린센트럴파 2동 101호
493,구산동점,서울,은평구,서울 은평구 구산동 9-9번지  1층
494,구산예일점,서울,은평구,서울 은평구 역촌동 51-79번지 1층
495,구의점,서울특별시,광진구,"서울특별시 광진구 자양로 296 (구의동, 1층)"
496,국수리점,경기도,양평군,경기도 양평군 양서면 경강로 1041 
497,군산경암점(명변)(express),전북,군산시,"전북 군산시 대명동 대명길 3, 상가동 1층 107호"
498,군산나운더하임점,전북,군산시,전북 군산시 나운동 1556 보람더하임상가 가동 103호
499,군산나운신도시점(express)(명변)(3),전라북도,군산시,전라북도 군산시 서수송2길 40 (나운동) 1층
500,군산나운지곡점,전라북도,군산시,전라북도 군산시 동지곡길 38 (지곡동)
501,군산미룡점,전북,군산시,전북 군산시 미룡동 898-1
502,군산미장점,전북,군산시,"전북 군산시 미장남로 10, 1동 105호(미장아이파크상 "
503,군산산북소룡점,전북,군산시,전북 군산시 산북동 3536-5 
504,군산수송점,전북,군산시,전북 군산시 삼학동 361-2번지
505,군위행복점,경상북도,군위군,경상북도 군위군 군위읍 중앙길 126 
506,군자점,서울,광진구,서울 광진구 군자동 364
507,군포당동점,경기,군포시,경기 군포시 당동 872-2 산본리빙스텔 107호
508,군포부곡점,경기도,군포시,"경기도 군포시 송부로 222-1 (부곡동, 휴먼시아 5단지 104"
509,군포중앙점(올리브치킨),경기도,군포시,"경기도 군포시 당정역로 8 (당정동, 대우프라자 3) 105호"
510,금곡점(cafe명변),경기,남양주시,경기 남양주시 금곡동 430-34번지
511,금촌점,경기도,파주시,경기도 파주시 금정16길 6 (금촌동) 73-19
512,금호점,서울,성동구,서울 성동구 금호동4가 128
513,금호행복점,대구광역시,북구,대구광역시 북구 한강로8길 13-9 (금호동) 1층 104호
514,기장일광점,부산광역시,기장군,부산광역시 기장군 일광면 일광로 110 (가위소리) 
515,기타(쇼핑몰),서울특별시,송파구,"서울특별시 송파구 중대로 64 (문정동, 진현빌딩) "
516,길음점,서울,성북구,서울 성북구 길음동 1170
517,김천대신점,경북,김천시,경북 김천시 신음동 덕일 A상가 101동 101호
518,김천배신점,경상북도,김천시,경상북도 김천시 감문면 배시내길 51 
519,김천부곡점,경상북도,김천시,경상북도 김천시 김천로 13 (부곡동) 
520,김천신음점,경상북도,김천시,경상북도 김천시 신양4길 63 (신음동) 
521,김천혁신율곡점(올리브치킨),경상북도,김천시,"경상북도 김천시 혁신1로 75 (율곡동, 파크드림씨티써 "
522,김천혁신점,경상북도,김천시,경상북도 김천시 용전3로 15 (율곡동) 
523,김포대곶점,경기,김포시,경기 김포시 대곶면 거물대리 409-9
524,김포마산점(올리브치킨),경기,김포시,"경기 김포시 마산동 김포한강8로 165,108호"
525,김포마송점,경기,김포시,경기 김포시 통진읍 서암리 714-43
526,김포불로점,인천,서구,인천 서구 불로동 불로지구39블럭 불로금호어울림상가101호
527,김포사우점,경기도,김포시,"경기도 김포시 사우중로74번길 39 (사우동, 다이안월 102호"
528,김포양곡행운점,경기도,김포시,경기도 김포시 양촌읍 양곡2로 5-6 
529,김포운양행복점,경기도,김포시,경기도 김포시 김포한강1로 227 (운양동) 101호(광장프라자1동)
530,김포월곶점,경기도,김포시,경기도 김포시 월곶면 애기봉로 16 (1층)
531,김포장기점,경기,김포시,경기 김포시 장기동 1421
532,김포풍무점,경기도,김포시,"경기도 김포시 풍무로96번길 40 (풍무동, 풍무자이아 풍무자이1단지B04호"
533,김포하성점(올리브카페),경기도,김포시,경기도 김포시 하성면 하성로 490 
534,김포학운점,경기도,김포시,경기도 김포시 양촌읍 황금로48번길 5-11 
535,김해관동점,경남,김해시,경남 김해시 관동동 444-4 중원프라자 104호 
536,김해대성점,경남,김해시,경남 김해시 대성동 148-3
537,김해삼문점,경남,김해시,경남 김해시 장유면 삼문리 대동피렌체상가
538,김해삼방점,경상남도,김해시,경상남도 김해시 삼안로 136-1 (삼방동) 1층 
539,김해어방점,경남,김해시,경남 김해시 어방동 503-6
540,김해율하점,경상남도,김해시,경상남도 김해시 율하2로 115번길 13 (관동동) 1층 110호
541,김해장유점,경남,김해시,경남 김해시 장유면 부곡리 805-4 104호
542,까치산점,서울,강서구,서울 강서구 화곡8동 332-12
543,낙민수안점,부산,동래구,부산 동래구 낙민동 91-14 103
544,난곡점,서울,관악구,서울 관악구 신림동 1738-1 파로스프라자 B동 제지1층 
545,남대문점,서울특별시,중구,서울특별시 중구 남대문시장4길 42-1 (남창동)
546,남산타운점,서울,중구,서울 중구 신당3동 844 남산타운2 215
547,남악대박점,전라남도,무안군,전라남도 무안군 삼향읍 남악4로82번길 31 (근화베아 상가 109호
548,남양주리코스타점(e-cafe)(명변),경기도,남양주시,경기도 남양주시 별내면 청학로68번길 3 (금강빌딩) 지층 1호
549,남지점,경상남도,창녕군,경상남도 창녕군 남지읍 낙동로 486 103
550,남해남면점,경남,남해군,경남 남해군 남면 남서대로 800
551,남해미조점,경남,남해군,경남 남해군 미조면 미조리 100-1
552,남해읍점,경상남도,남해군,경상남도 남해군 남해읍 망운로 17 
553,내곡포레스타점,서울특별시,서초구,"서울특별시 서초구 청계산로7길 43 (신원동, 서초포레 101호"
554,노원점,서울특별시,노원구,서울특별시 노원구 상계로1길 62-51 (상계동) 1층
555,노은2지구점,대전,유성구,대전 유성구 반석동 647-7
556,노은3지구점,대전광역시,유성구,대전광역시 유성구 지족로 283 지상1층 102호(지족동)
557,녹번점,서울특별시,은평구,"서울특별시 은평구 녹번로 35 (녹번동), 1층 "
558,담양메타프로방스점(express),전라남도,담양군,전라남도 담양군 담양읍 깊은실길 2-13 
559,당리사하점,부산광역시,사하구,부산광역시 사하구 제석로 59 (당리동) 1층
560,당산역점,서울특별시,영등포구,"서울특별시 영등포구 당산로45길 1 (당산동5가, 당산  105호"
561,당진신평점,충청남도,당진시,충청남도 당진시 신평면 신평로 789-3 1층 3호 (대림)
562,당진정미점(펀&정),충남,당진군,충남 당진군 정미면 천의리 252-6번지
563,당진합덕점,충남,당진시,충남 당진시 합덕읍 운산리 918-11 
564,당진CGV점,충청남도,당진시,충청남도 당진시 우두로 16 (우두동) 101호(아치빌)
565,대곡행복점,대구광역시,달서구,"대구광역시 달서구 도원로 48 (도원동, 별메마을 복합 104호"
566,대관령점,강원도,평창군,강원도 평창군 대관령면 대관령로 98 
567,대광점,경기,연천군,경기 연천군 신서면 도신리 290-26번지
568,대구구암점,대구,북구,대구 북구 구암동 692-13
569,대구남산대신점,대구,중구,대구 중구 남산4동 2937-1 남산그린타운 101동1호
570,대구다사죽곡점,대구광역시,달성군,대구광역시 달성군 다사읍 대실역북로 70-1 
571,대구대현복현사랑점,대구,북구,대구 북구 복현1동 421-1번지
572,대구도원점,대구광역시,달서구,대구광역시 달서구 상화로 300-23 (도원동) 
573,대구동천점,대구,북구,대구 북구 동천동 944-6
574,대구만촌점,대구,수성구,대구 수성구 만촌3동 869-19
575,대구매천점,대구,북구,대구 북구 매천동 매천택지개발사업지구 20블록 5로트
576,대구매호점,대구광역시,수성구,"대구광역시 수성구 천을로 181 (매호동, 협화아파트) 상가112동 101호"
577,대구메트로점,대구광역시,수성구,대구광역시 수성구 만촌로 165 (만촌동) 
578,대구범물점,대구광역시,수성구,대구광역시 수성구 지범로 271-1 (범물동) 1층
579,대구범어점,대구,수성구,대구 수성구 범어4동 330 장원상가 108동105호
580,대구복현산격점,대구,북구,대구 북구 검단동 936-19
581,대구봉덕점,대구광역시,남구,"대구광역시 남구 이천로 35 (봉덕동) 봉덕동,1층"
582,대구산격점,대구광역시,북구,"대구광역시 북구 동북로 131 (산격동, 양우내안애아파 106-101(산격동,양우내안애아파트상가)"
583,대구상인행복점,대구,달서구,대구 달서구 상인동 1517 영남화성타운상가 107-3호
584,대구서구점,대구광역시,서구,대구광역시 서구 국채보상로 316 평리롯데캐슬아파트 202-106
585,대구성서본점(4)(명변),대구광역시,달서구,"대구광역시 달서구 선원남로 151 (용산동, 한마음아파 210동 103호"
586,대구송현2점,대구,달서구,대구 달서구 송현1동 203-1  1층
587,대구수성동아점,대구광역시,수성구,대구광역시 수성구 지범로23길 49 (지산동) 
588,대구수성점,대구,수성구,대구 수성구 수성4가 1146-9
589,대구수성행복점,대구,수성구,대구 수성구 수성동2가 231-2
590,대구신매점,대구,수성구,대구 수성구 신매동 586-4
591,대구신서동호점(cafe),대구,동구,대구 동구 신서동 805-11번지
592,대구신암점,대구,동구,대구 동구 신암1동 577~588 588-10
593,대구용산점,대구광역시,달서구,대구광역시 달서구 용산서로 70 (용산동) 
594,대구월성행복점,대구,달서구,대구 달서구 월성동 120번지 푸르지오상가 2동103호
595,대구유천스타점,대구광역시,달서구,"대구광역시 달서구 월배로11길 33 (유천동, 진천역AK 301동 102호"
596,대구율하본점,대구광역시,동구,대구광역시 동구 율하서로 54 (율하동) 1층 103호
597,대구이천영선점(cafe),대구,남구,대구 남구 이천동 453-71번지
598,대구장기사랑점,대구광역시,달서구,"대구광역시 달서구 한들로 55 (장기동, 장기초록나라 501동 108호"
599,대구중구점,대구,중구,대구 중구 수창동 153 
600,대구중동점,대구,수성구,대구 수성구 중동 412-1
601,대구지묘점,대구광역시,동구,대구광역시 동구 파계로6길 46 (지묘동) 제1층101호
602,대구진천수목원점,대구,달서구,대구 달서구 대곡동 1015-1 외 1필지 진천상가 104호
603,대구천내점,대구,달성군,대구 달성군 화원읍 천내리 54-1번지
604,대구칠성점,대구,북구,대구 북구 칠성동2가 355-27
605,대구칠성점(올리브치킨),대구광역시,북구,대구광역시 북구 칠성로 39 (칠성동2가) 
606,대구태전행복점,대구,북구,대구 북구 태전동 961-11번지 1층
607,대구파동점(올리브치킨),대구광역시,수성구,대구광역시 수성구 용학로 12-1 (파동) 1층
608,대구푸른마을점,대구,수성구,대구 수성구 범어동 674-2
609,대구황금점(4),대구,수성구,대구 수성구 황금동 202-3번지
610,대방점(7),서울,영등포구,서울 영등포구 신길동 4027
611,대전가양점,대전,동구,대전 동구 가양동 398-4번지 1-2
612,대전가오점,대전광역시,동구,대전광역시 동구 대전로 448 (가오동) 104호
613,대전갈마점,대전,서구,대전 서구 갈마동 1392 1층
614,대전계룡점,충남,계룡시,충남 계룡시 엄사면 엄사리 174-2
615,대전관저느리울점,대전광역시,서구,대전광역시 서구 구봉로 139 (관저동) 
616,대전관저점,대전광역시,서구,대전광역시 서구 관저북로51번길 8-20 (관저동) 101호
617,대전목동점,대전,중구,대전 중구 중촌동 411-1
618,대전배재대점,대전,서구,대전 서구 도마2동 109-26번지
619,대전벽산점,대전,중구,대전 중구 유천동 189-11
620,대전복수점(Cafe),대전,서구,대전 서구 복수동 612 초록마을아파트2단지상가 112
621,대전부사점,대전광역시,중구,대전광역시 중구 보문로67번길 14 (부사동) 
622,대전비래점,대전광역시,동구,대전광역시 동구 흥룡로 71번길 91 1층(가양동)
623,대전산성점,대전광역시,중구,대전광역시 중구 대둔산로 407-19 (산성동) 1층
624,대전송촌점,대전,대덕구,대전 대덕구 송촌동 467-1
625,대전신성점,대전,유성구,대전 유성구 신성동 152-1번지 대림상가131호
626,대전어은점,대전,유성구,대전 유성구 어은동 110-6
627,대전용운점,대전광역시,동구,대전광역시 동구 용운로 127 
628,대전유성점,대전,유성구,대전 유성구 봉명동 563-14 1층 7호
629,대전전민점,대전,유성구,대전 유성구 전민동 327-23 
630,대전정림점,대전,서구,대전 서구 정림동  609번지
631,대전정림점,대전광역시,서구,대전광역시 서구 정림동로7번길 40 (정림동) 1층(정림동)
632,대전탄방점,대전광역시,서구,"대전광역시 서구 계룡로571번길 17 (탄방동, 태양빌딩 탄방동 103호"
633,대치도곡점,서울,강남구,서울 강남구 대치1동 1023-19 1층
634,대치은마점,서울특별시,강남구,서울특별시 강남구 영동대로57길 16 
